2017  ;7   ;"02";"8911530126";"03.4000.030.02";"5.51.01.0005052 ";2   ;9   ;1  ;"65 i wiecej";"3-5 dni";"<5"
2017  ;4   ;"06";"7361459982";"03.4580.030.02";"5.51.01.0008032 ";6   ;2   ;1  ;"18-44";"3-5 dni";"<5"
2017  ;10  ;"03";"7122429274";"03.4450.060.02";"5.51.01.0013014 ";3   ;2   ;2  ;"18-44";"3-5 dni";"<5"
2017  ;3   ;"09";"8132919313";"03.4500.030.02";"5.51.01.0015024 ";6   ;2   ;1  ;"45-64";"3-5 dni";"<5"
2017  ;3   ;"07";"8212577607";"03.4450.050.02";"5.51.01.0012003 ";6   ;1   ;2  ;"45-64";"1-2 dni";"<5"
2017  ;8   ;"07";"8121649620";"03.4000.030.02";"5.51.01.0005077 ";3   ;2   ;2  ;"65 i wiecej";"3-5 dni";"<5"
2017  ;9   ;"11";"5792133296";"03.4000.030.02";"5.51.01.0001037 ";3   ;2   ;2  ;"18-44";"3-5 dni";"<5"
2017  ;5   ;"10";"5431754901";"03.4401.030.02";"5.51.01.0014022 ";3   ;2   ;1  ;"0-17";"3-5 dni";"7       "
2017  ;3   ;"02";"8762008352";"03.4450.050.02";"5.51.01.0012004 ";6   ;2   ;2  ;"65 i wiecej";"0 dni";"<5"
2017  ;9   ;"13";"6551662705";"03.4340.030.02";"5.51.01.0016060 ";6   ;2   ;2  ;"45-64";"1-2 dni";"<5"
2017  ;4   ;"05";"7251019093";"03.4610.030.02";"5.51.01.0003057 ";3   ;2   ;2  ;"18-44";"6 i wiêcej dni";"<5"
2017  ;5   ;"12";"6443504464";"03.4000.030.02";"5.51.01.0004028 ";6   ;3   ;2  ;"45-64";"6 i wiêcej dni";"<5"
2017  ;5   ;"13";"6641873185";"03.4450.050.02";"5.51.01.0012014 ";6   ;1   ;2  ;"18-44";"0 dni";"<5"
2017  ;9   ;"13";"6562276905";"03.4450.040.02";"5.51.01.0012013 ";6   ;1   ;2  ;"45-64";"6 i wiêcej dni";"<5"
2017  ;1   ;"04";"9251723350";"03.4401.030.02";"5.51.01.0014003 ";3   ;2   ;1  ;"0-17";"3-5 dni";"<5"
2017  ;8   ;"03";"7122409395";"03.4100.030.02";"5.51.01.0005032 ";2   ;2   ;2  ;"65 i wiecej";"6 i wiêcej dni";"<5"
2017  ;11  ;"05";"7282246128";"03.4580.030.02";"5.51.01.0008063 ";3   ;2   ;2  ;"45-64";"3-5 dni";"<5"
2017  ;8   ;"12";"6252247223";"03.4580.030.02";"5.51.01.0008109 ";2   ;9   ;2  ;"65 i wiecej";"1-2 dni";"<5"
2017  ;2   ;"15";"7642088098";"03.4401.030.02";"5.51.01.0011106 ";6   ;1   ;1  ;"0-17";"1-2 dni";"<5"
2017  ;1   ;"05";"7282289592";"03.4220.030.02";"5.51.01.0001066 ";2   ;2   ;2  ;"18-44";"1-2 dni";"<5"
2017  ;2   ;"03";"5631863730";"03.4401.030.02";"5.51.01.0014012 ";3   ;1   ;2  ;"0-17";"1-2 dni";"<5"
2017  ;3   ;"16";"8522211119";"03.4000.030.02";"5.51.01.0007015 ";3   ;2   ;2  ;"65 i wiecej";"3-5 dni";"<5"
2017  ;9   ;"07";"1132883801";"03.4580.031.02";"5.51.01.0008083 ";6   ;2   ;1  ;"18-44";"0 dni";"<5"
2017  ;1   ;"05";"8341456538";"03.4500.030.02";"5.51.01.0007044 ";6   ;2   ;1  ;"45-64";"1-2 dni";"<5"
2017  ;8   ;"01";"8981816856";"03.4421.160.02";"5.51.01.0013020 ";5   ;1   ;1  ;"0-17";"1-2 dni";"13      "
2017  ;12  ;"13";"6641873185";"03.4500.030.02";"5.51.01.0006037 ";3   ;2   ;1  ;"18-44";"0 dni";"<5"
